saved_id,sentiment,situation,message,canal,ciutada,clas1,clas2,clas3,lng,lat,barri,data_inici
BC00283346,"4,5","3,8","Fotodenuncia - Cotxe abandonat amb les dues rodes del cantó interior punxades, ITV caducada, aparcat a la plaça [ADDRESS]. | (Adjunta fotos)",Fotodenuncia,Ciutadà,Policia local,Vehicle abandonat a la via pública,,2.44500357,41.54345575,Eixample,2020-01-01 00:00:00
BC00283347,"3,75","2,55","Fotodenuncia - Cuando arreglaran las tablas de madera del pasillo del parque nuevo de [ADDRESS], hoy casi me voy al suelo al pisarlas.... | (Adjunta foto)",Fotodenuncia,Ciutadà,Manteniment de la Ciutat,"Parcs, jardins i zones verdes (senyalització i altres)",,2.45225039,41.54952436,Vista Alegre,2020-01-01 00:00:00
BC00283348,"7,45","3,8","Fotodenuncia - Al carrer [ADDRESS], davant del [ADDRESS]. Si us plau, ho podeu retirar? Porta dies així i molesta als vianants. Gràcies | (Adjunta foto)",Fotodenuncia,Ciutadà,Manteniment de la Ciutat,"Arbres via pública (poda/fumigació, etc.)",Arbres a la via pública,2.43629836,41.55058739,Cirera,2020-01-01 00:00:00
BC00283349,"3,75","3,8","Fotodenuncia - El carrer [ADDRESS] presenta les restes d'orina de la festa de Cap d'Any. Des del principi, tocant al [ADDRESS], fins la meitat, aproximadament. Per Santes i per Cap d'Any aquest carrer sempre apareix així de brut. Amb els papers d'eixugar-se i tot. | (No adjunta imatges)",Fotodenuncia,Ciutadà,Manteniment de la Ciutat,"Neteja viària / Recollida animals morts (gossos, gats, coloms, rates,etc.)",,2.44703821,41.53798510,Eixample,2020-01-01 00:00:00
BC00283350,"3,75","3,8","Fotodenuncia - Como de costumbre, muebles en la calle [ADDRESS]. | (Adjunta foto)",Fotodenuncia,Ciutadà,Manteniment de la Ciutat,Voluminosos (recollida via pública),Avís incidència/Queixa,2.42828263,41.53731924,Cerdanyola,2020-01-01 00:00:00
BC00283351,"3,5",2,TEL CIVISME: | COMENTA QUE HI HA VOLUMINOSOS AL MIG DEL CARRER I ES PERILLÓS POT CAURE ALGÚ | DEMANA QUE PASSIN A RECO-GIR EL MES AVIAT POSSIBLE,Telèfon del civisme,Ciutadà,Manteniment de la Ciutat,Voluminosos (recollida via pública),Avís incidència/Queixa,2.43442007,41.54099369,Cerdanyola,2020-01-01 00:00:00
BC00283352,"5,5","3,8","Tel. Civisme: | No hi ha enllumenat públic des de fa 4 dies entre Pl. Espanya, [ADDRESS] i Rda. Alfons X, el Savi.",Telèfon del civisme,Ciutadà,Manteniment de la Ciutat,Enllumenat,,2.44275696,41.54463989,Centre,2020-01-01 00:00:00
BC00283353,"3,75","3,8","Fotodenuncia - Muy buenas, en la Plaza Cataluña la calle esta llena de socavones ( la calle paralela a Ronda d'Odonell dirección Girona).. vienen la ""reparan"" por no decir que la ÑAPEAN, y a los dos días salen otros nuevos.. tan complicado es venir y asfaltar la calle como Dios Manda? Se hace una vez bien y durará otros 30 años mas.. por favor.. | (No adjunta imatges)",Fotodenuncia,Ciutadà,Manteniment de la Ciutat,Calçada,Calçada,2.43224427,41.53935222,Peramàs-Esmandies,2020-01-01 00:00:00
BC00283364,"7,45","3,8",Fotodenuncia: Buenas noches el espejo se a movido y no hay visibilidad cuando bajan los coches... cruce de [ADDRESS] con [ADDRESS] graciasssss,Fotodenuncia,Ciutadà,Manteniment de la Ciutat,Miralls panoràmics (cruïlles carrers),,2.42710630,41.54358380,Cerdanyola,2020-01-01 00:00:00
BC00283365,"3,75","3,8","Dia 02/01/2020 | Mataró Bus L-5, parada Hospital-Rodalies. Horari de sortida 06:20 h., ha sortit a les 06:15 h no ha respectat el seu horari. Ha perdut bus, enllaç amb rodalies i arribar tard a la feina.",Telèfon del civisme,Ciutadà,Transports públics,Autobusos urbans,,2.42907448,41.55569479,Cirera,2020-01-01 00:00:00
BC00283366,"5,5",5,"Ha trucat policia, al c. [ADDRESS] cantonada amb c. [ADDRESS] hi ha un senyal de pas de vianants caigut a terra.",Policia Local,Intern,Mobilitat,Ordenació viària,Senyalització viària,2.43963409,41.54239663,Eixample,2020-01-01 00:00:00
BC00283367,"5,5","3,8",Civisme:[ADDRESS] / [ADDRESS]. | -Passem comunicat de senyal vertical de pas de vianants trencada per la base i recolzada en el terre de la calçada.,Telèfon del civisme,Ciutadà,Mobilitat,Ordenació viària,Senyalització viària,2.43962185,41.54248073,Eixample,2020-01-01 00:00:00
BC00283368,"4,5","3,8",TEL 010: | COMENTA QUE LES RATES HAN FET UN FORAT EN UN ARBRE I ENCARA QUE EL TAPIN TORNEN A SORTIR | DEMANA QUE PASSIN A FUMIGAR O EL QUE CALGUI EL MES AVIAT POSSIBLE,Telèfon 010,Ciutadà,Salut Pública,"Plagues (rates, paneroles, mosquit tigre, etc.)",,2.42510708,41.54253754,Cerdanyola,2020-01-01 00:00:00
BC00283369,"7,45","3,8",010: | -Comunicat d'un forat molt profund situat entre [ADDRESS] i Pizzeria (aproximadament a uns 20 metres). | -Suggereix que mentre se solucioni la incidència es posin uns cons al voltant d'aquest forat per a no causar cap mal o accident.,Telèfon 010,Ciutadà,Manteniment de la Ciutat,Calçada,Avís enfonsament,2.43160149,41.54625810,Cirera,2020-01-01 00:00:00
BC00283384,"3,75","2,55","Els fanals amb forma esfèrica, estan moguts per el vent i a punt de caure.",Telèfon 010,Ciutadà,Manteniment de la Ciutat,Enllumenat,,2.44230488,41.55232005,Vista Alegre,2020-01-01 00:00:00
BC00283385,"7,45","3,8","Ha trucat Policia, a la plaça [ADDRESS], costat mar està sense enllumenat públic, prega que es revisi.",Policia Local,Intern,Manteniment de la Ciutat,Enllumenat,,2.43558179,41.54025445,Peramàs-Esmandies,2020-01-01 00:00:00
BC00283386,"5,5",5,OFICIAL CIUTADÀ DE QUEIXA: | COMENTA QUE A LA ENTRADA DEL CONCESSIONARI [NAME] HAN CRESCUT MATOLLS | DEMANA QUE PASSIN A TREURE EL MES AVIAT POSSIBLE,Telèfon del civisme,Ciutadà,Manteniment de la Ciutat,"Arbres via pública (poda/fumigació, etc.)",Arbres a la via pública,2.42774221,41.52533981,Pla d´en Boet,2020-01-01 00:00:00
BC00283387,"3,75","2,55","Bon dia, | Tinc una germana amb discapacitat que es beneficiaria de descomptes en les entrades al Teatre Monumental. No obstant, com que la web no està preparada per aplicar aquest descompte i jo treballo, no em queda més remei que pagar la totalitat de l'entrada quan vull anar amb ella a algun espectacle. Demano que o bé es pugui intercanviar l'entrada i retornar l'import corresponent un cop ja comprada o bé que s'estableixi el sistema adequat per a la web. Amb el sistema actual, que obliga a anar presencialment a l'oficina per obtenir el descompte, no només no s'ajuda sinó que es perjudica a aquelles persones que ja tenen prou dificultats en el seu dia a dia i les seves famílies (el fet d'anar-hi presencialment t'exposa a trobar les entrades exhaurides). És molt injust i demano un canvi per arreglar-ho. | Atentament, | [NAME]",Web municipal,Ciutadà,"Cultura, Esports, Ensenyament i Centres Cívics",,,2.44574932,41.53772687,Eixample,2020-01-01 00:00:00
BC00283404,"7,45","2,55","Benvolguts/des, | Us escric perquè cada vegada que vaig a visitar la meva mare al carrer de la Coma, em trobo la vorera en molt mal estat a tot el carrer, però especialment en el tram que hi ha davant del número 25. Crec que aquest sot en la vorera pot comportar caigudes, i tenint en compte que hi ha molts veïns/es al carrer que són persones grans, és un risc innecessari tenir-ho així. Els he enviat unes fotografies en què es veu clarament l'esfondrament de la vorera, i els escric per preguntar-los si tenen previst en alguna actuació municipal futura arreglar les voreres d'aquest carrer. | Moltes gràcies per la vostra atenció. | Cordialment, | [NAME]",Web municipal,Ciutadà,Manteniment de la Ciutat,Calçada,Calçada,2.44752589,41.54165651,Centre,2020-01-01 00:00:00
BC00283405,"5,45","3,8",010: | -Ens comunica que des d'ahir a la nit hi ha una escala de fusta de grans dimensions tombada en aquesta ubicació.,Telèfon 010,Ciutadà,Manteniment de la Ciutat,Voluminosos (recollida via pública),Avís incidència/Queixa,2.42643480,41.54076496,Cerdanyola,2020-01-01 00:00:00
BC00283406,"5,5",5,Fotodenuncia - Senyal vertical tombat a a terra. [ADDRESS] (Adjunta foto),Fotodenuncia,Ciutadà,Mobilitat,Ordenació viària,Senyalització viària,2.43034196,41.52768969,Pla d´en Boet,2020-01-01 00:00:00
BC00283424,"7,45","2,55","010 - Comunica que a l'espai de gespa que hi ha a l'[ADDRESS], alçada del número 62, hi ha un gat que es troba ferit o malalt. (Passem avís a la Protectora)",Telèfon 010,Ciutadà,Salut Pública,Recollida gossos abandonats a la via pública/parcs,,2.43307415,41.53169655,Pla d´en Boet,2020-01-01 00:00:00
BC00283425,"5,5","3,8",Tel. Civisme: | Han deixat molts cartrons al costat del contenidor. Demana que passin a recollir-los.,Telèfon del civisme,Ciutadà,Manteniment de la Ciutat,Contenidors/ Recollida escombraries,Contenidors / Recollida escombraries,2.44139198,41.53739390,Eixample,2020-01-01 00:00:00
BC00283426,"9,5",5,"Tel. Civisme: | Referent a la incidència passada el 15 de novembre (BC00279027) i el 30 de desembre (BC00283228), el senyor [NAME] agraeix la tasca dels operaris que han reparat la planxa metàl·lica dels contenidor de vidre de la plaça de Cuba.",Telèfon del civisme,Ciutadà,Manteniment de la Ciutat,Contenidors/ Recollida escombraries,Suggeriment/Agraïment,2.44139198,41.53739390,Eixample,2020-01-01 00:00:00
BC00283444,"7,5","5,5",TEL POLICIA LOCAL: | COMENTA QUE HI HA UN SENYAL AL TERRA A LA VORERA DEL [ADDRESS] | DEMANA QUE PASSIN A REPARAR EL MES AVIAT POSIBLE,Policia Local,Intern,Mobilitat,Ordenació viària,Senyalització viària,2.43428803,41.52697738,Pla d´en Boet,2020-01-01 00:00:00
BC00283445,"3,5",4,TEL 010: | COMENTA QUE HAN POSAT UN QUADRE ELÈCTRIC AL COSTA DEL DEPARTAMENT DE CULTURA I FA MOLT DE SOROLL I A LA NIT MOLESTA MOLT | DEMANA QUE PASSIN A MIRAR I ARREGLAR EL SOROLL,Telèfon 010,Ciutadà,Manteniment de la Ciutat,"Incidències companyies alienes (Fecsa, Iberdrola, Telefònica, Menta, Ono, etc.)",,2.44344992,41.53964076,Eixample,2020-01-01 00:00:00
BC00283464,"3,75",3,"La plaça, és plena de vidres trencats, porta des de la nit del 31 de desembre amb ampolles trencades a terra.",Telèfon del civisme,Ciutadà,Manteniment de la Ciutat,"Neteja viària / Recollida animals morts (gossos, gats, coloms, rates,etc.)",,2.43447989,41.53198940,Pla d´en Boet,2020-01-01 00:00:00
BC00283484,"3,75","3,8",TEL 010: | COMENTA QUE AL NOU PARC CENTRAL FRONT DEL CARRER [ADDRESS] EN ELS BANCS HI HA MOLTA BRUTÍCIA PERQUÈ HI HA UN INDIGENT I ESTA MOLT BRUT I FA MALA OLOR | DEMANA QUE PASSIN A NETEJAR EL MES AVIAT POSSIBLE,Telèfon 010,Ciutadà,Manteniment de la Ciutat,"Neteja viària / Recollida animals morts (gossos, gats, coloms, rates,etc.)",,2.43944883,41.54317134,Eixample,2020-01-01 00:00:00
BC00283504,4,"3,75","Fotodenuncia - Al parc del Camí de la Serra, entre el carrer [ADDRESS] i C. [ADDRESS]. Una colla es reuneix a la nit i deixa el parc ple de llaunes de cervesa i brossa, això passa amb freqüència. | (Adjunta foto)",Fotodenuncia,Ciutadà,Manteniment de la Ciutat,"Neteja viària / Recollida animals morts (gossos, gats, coloms, rates,etc.)",,2.43911419,41.55110714,Vista Alegre,2020-01-01 00:00:00
BC00283524,"7,45",5,"Bona tarda, | Ja fa anys que portem la carta als reis als patges de la plaça [ADDRESS], i no hi ha any que no ens haguem desperar més duna hora per poder fer la entrega. Són dies que fa fred i tots anem amb nens petits que hem de distreure durant molta estona per que no marxin de la cua (dificil!) | Sugerim que es doblin els patges reals. De fet el dijous eren tots rossos (no nera un per rei). Els reis son tres però els ajudants en poden ser molts. Segur que molts pares us ho agrairíem. | Gràcies i bons reis",Web municipal,Ciutadà,"Cultura, Esports, Ensenyament i Centres Cívics",Cultura i festes populars i tradicionals,,,,,2020-01-01 00:00:00
BC00283544,"2,5","2,55","Hoy, 05-01-2020 a las 08:20 horas aproximadamente, he llamado a la policía local, dado que desde antes de las 08:00 horas el ruido de los perros ha despertado a toda la familia. Soy un vecino del nuevo residencial de [ADDRESS]. Desde que en marzo 2019 nos entregaran las viviendas, padecemos las grandísimas molestias de tener un parque para perros a una distancia aproximada de 5 metros, situado en el solar de [ADDRESS]. El ruido que producen los perros que allí se aglutinan es insoportable. Lo padecemos todos los días, con mayor insistencia los fines de semana y festivos, que nos impide descansar. Los ruidos comienzan a tempranas horas de la mañana (sobre las 06:00) y se alargan hasta las últimas horas del día (sobre las 00:00 horas, y en ocasiones hasta más tarde). Tenemos una hija de 1 año que es despertada sistemáticamente cada día por el ruido que provoca la acumulación de perros en ese solar, lo que está provocando un grandísimo malestar en nuestra familia. Entendemos que desde que se entregaron nuestras viviendas no tiene sentido mantener un parque para perros a una distancia de apenas 5 metros. Es imposible la convivencia. Exigimos que se proceda al cierre de ese parque para perros y se traslade a otro punto de la ciudad donde no haga la vida imposible a los vecinos.",Web municipal,Ciutadà,Manteniment de la Ciutat,Espai per a gossos / Correcans,,2.45196025,41.54350840,Eixample,2020-01-01 00:00:00
BC00283545,"7,45",5,"He canviat el vehicle i necessitaria, si encara existeix, l'identificador per poder aparcar a la zona blava a l'espai reservat per a veïns.",Web municipal,Ciutadà,Mobilitat,,,2.44164183,41.54147112,Eixample,2020-01-01 00:00:00
BC00283546,"3,5","3,8","Bon dia, voldria exposar la meva queixa respecte a la organitzacio de l arribada de ses majestats reials al Port. Aquest any, no s'ha publicitat que no recollirien cartes, [NAME] hem fet cues a cada carrosa per entregar la carta i ningú ens ha informat que no es faria. Eks reis han arribat, s'han fet els parlaments i suposadament es dirigien a les carrosses fent un passeig. Per megafonia, es deia que els reis havien de descansar per la cavalgada i que els hi deixessin passar, sense més comentari. M'he dirigit a la organitzacio, després de 40 minuts i m'ha indicat que no es recollurien les cartes. Que ja s'havia explicat que aquest any seria diferent i també s'havia avist per megafonia. Perdoneu, si la meva intel·ligència i de tots els que fèiem cua no estava a l'alçada, però amb l'escrit adjunt a la carta que reparteix l'Ajuntament es diu que es recolliran cartes i des de megafonia no es diu que no fem cua, perquè els nens no podran entregar la seva carta, és difícil d'entendre aquest canvi en la organització de l'acte. Cada crec que s'hauria de millorar cara l'any vinent, perquè els reis no haguessin passat la calor que han passat, si la recollida de cartes i fitos s'haguessin fet a la carrosa. Gràcies.",Web municipal,Ciutadà,"Cultura, Esports, Ensenyament i Centres Cívics",Cultura i festes populars i tradicionals,,,,,2020-01-01 00:00:00
BC00283547,"3,75",5,"Bon dia, voldria exposar la meva queixa respecte a la organitzacio de l arribada de ses majestats reials al Port. Aquest any, no s ha publicitat que no recollirien cartes, els mataronins hem fet cues a cada carrosa per entregar la carta i ningu ens ha informat que no es faria. Eks reis han arribat, s han fet els parlaments i suposadament es dirigien a les carrosses fent un passeig. Per megafonia, es deia que els reis havien de descansar per la cavalgada i que els hi deixessin passar, sense mes comentari. M he dirigit a la organitzacio, despres de 40 minuts i m ha indicat que no es recollurien les cartes. Q ja s havia explicat que aquest any seria diferent i tambe s havia avist per megafonia. Perdoneu, si la meva intel ligencia i de tits els que feiem cua no estava a l alçada, pero amb l escrit adjunt a la carta que reparteix l Ajuntament es diu que es recolliren cartes i des de megafonia no es diu que no fem cua, perque els nens no podran entregar la seva carta, es dificil d entendre aquest canvi en la organitzacio de l acte. Crec que s hauria de millorar cara l any vinent, perque els reis no haguessin passat la calor que han passat, si la recollida de cartes i fitos s haguessin fet a la carrosa. Gracies",Web municipal,Ciutadà,"Cultura, Esports, Ensenyament i Centres Cívics",Cultura i festes populars i tradicionals,,,,,2020-01-01 00:00:00
BC00283548,"5,5","3,8",Vecino en el edificio [ADDRESS] | Hay una amplia acera donde suelen aparcar vehículos | No hay pivotes y falta además un árbol. | Pido una actuación para que no aparecen vehículos | Justo davant del portal.,Web municipal,Ciutadà,Mobilitat,Ordenació viària,Senyalització viària,2.42180720,41.54154657,Cerdanyola,2020-01-01 00:00:00
BC00283564,"4,5","3,8","Han deixat missatge a la bustia, al contenidor de vidre del c. [ADDRESS], està ple i ampolles de vidre a terra, prega que es buidi i recullin.",Telèfon del civisme,Ciutadà,Manteniment de la Ciutat,Contenidors/ Recollida escombraries,Contenidors / Recollida escombraries,2.45034430,41.53833024,Eixample,2020-01-01 00:00:00
BC00283565,"3,75","2,55","Han Trucat de la [ADDRESS], la policia va deixar cinta delimitadora per perill a la zona infantil, ahir uns nois la van treure, prega que es revisi, passats avis telefònic a policia.",Telèfon 010,Ciutadà,Manteniment de la Ciutat,Jocs infantils,,2.44241163,41.53416068,Eixample,2020-01-01 00:00:00
BC00283566,4,3,"[ADDRESS] | Veïna i ciutadana de Mataró vivint a la ciutat des de fa 50 anys: | -Diu que: Des de fa un temps enrere que hi ha molt d'acte vandàlic i li han robats dues vegades al carrer (ubicació indicada). | -Són un grup que sempre estan en la mateixa zona i a part de robar als ciutadans, destrossen els jardins del barri. | -Sol·licita: Més control policial per la tranquil·litat dels seus veïns.",Telèfon 010,Ciutadà,Policia local,Incidències sobre seguretat,,2.44965725,41.54941246,Rocafonda,2020-01-01 00:00:00
BC00283567,"3,5","2,55","Fotodenuncia - Por favor llevamos todas las navidades sin luz en el aparcamiento de la ronda president Tarradellas. Que pasa, que nosotros no pagamos impuestos o somos ciudadanos de tercera? | (No adjunta imatge)",Fotodenuncia,Ciutadà,Manteniment de la Ciutat,Enllumenat,,2.42096629,41.54081976,Cerdanyola,2020-01-01 00:00:00
BC00283568,"4,5","3,8",Fotodenuncia - Estas papeleras están llenas desde antes de Navidad. Justo detrás del [ADDRESS]. | (Adjunta fotos),Fotodenuncia,Ciutadà,Manteniment de la Ciutat,"Neteja viària / Recollida animals morts (gossos, gats, coloms, rates,etc.)",,2.43112847,41.54934920,Cirera,2020-01-01 00:00:00
BC00283569,"4,55","3,8","CV: Han trucat de la Ronda Dr. Ferran, a l'alçada del número 57 al contenidor de cartó, està ple i amb cartó per fora, prega que es buidi i reculli.",Telèfon del civisme,Ciutadà,Manteniment de la Ciutat,Contenidors/ Recollida escombraries,Contenidors / Recollida escombraries,2.43560871,41.54758213,Cirera,2020-01-01 00:00:00
BC00283570,"4,5","3,75",Civisme - Els contenidors de Paper-cartró i de Resta del [ADDRESS] es troben completament plens.,Telèfon del civisme,Ciutadà,Manteniment de la Ciutat,Contenidors/ Recollida escombraries,Contenidors / Recollida escombraries,2.43612622,41.53612313,Eixample,2020-01-01 00:00:00
BC00283571,5,5,Policia Local comunica que al [ADDRESS] hi ha un senyal vertical tombat a terra.,Policia Local,Intern,Mobilitat,Ordenació viària,Senyalització viària,2.45267073,41.55346407,Vista Alegre,2020-01-01 00:00:00
BC00283572,"3,75","2,5",OFICIAL CITADÀ DE QUEIXA: | COMENTA QUE LA TAPA D'UN FANAL ESTA OBERTA I TRENCADA I ÉS PERILLÓS ALGÚ PODRIA PRENDRE MAL | DEMANA QUE PASSIN A REPARAR EL MÉS AVIAT POSSIBLE,Telèfon del civisme,Ciutadà,Manteniment de la Ciutat,Enllumenat,,2.43916897,41.53433117,Eixample,2020-01-01 00:00:00
BC00283573,"5,5",5,"Policia Local comunica que al C. [ADDRESS], alçada del número 94, hi van retirar un senyal de prohibit estacionar, excepte motos, i s'hauria de tornar a reposar.",Policia Local,Intern,Mobilitat,Ordenació viària,Senyalització viària,2.45201202,41.54505595,Eixample,2020-01-01 00:00:00
BC00283574,"7,45","3,75","Fotodenuncia - A ver si se puede avisar a alguien que arregle este fallo en los adoquines del carrer [ADDRESS] a la altura del num [NUMBER], por aquí pasan algunas personas mayores que pueden no verlo y caerse. Agradecería que se pueda dar parte a quien corresponda. | (Adjunta foto)",Fotodenuncia,Ciutadà,Manteniment de la Ciutat,Voreres,,2.42769255,41.54227703,Cerdanyola,2020-01-01 00:00:00
BC00283575,5,5,"Fotodenuncia - Nova deixalleria al [ADDRESS], pàrking de sorra. | (Adjunta fotos)",Fotodenuncia,Ciutadà,Manteniment de la Ciutat,"Neteja viària / Recollida animals morts (gossos, gats, coloms, rates,etc.)",,2.42851261,41.54033103,Cerdanyola,2020-01-01 00:00:00
BC00283576,4,"3,8","Fotodenuncia - Agrairia a l'Ajuntament de Mataró, que al carrer [ADDRESS], on continua estant el pas de vianants que es va fer per motius d'unes obres que fa mesos van finalitzar, que el vinguessin a anul·lar. Bastant malament està l'aparcament a Mataró com per treure dos llocs, o donar motius a la grúa per fer calers de manera *fraudulenta"". (Adjunta foto)",Fotodenuncia,Ciutadà,Mobilitat,Ordenació viària,Pas vianants,2.43667299,41.53924125,Peramàs-Esmandies,2020-01-01 00:00:00
BC00283577,"5,5","3,75",TEL 010: | COMENTA QUE EL SEMÀFOR DEL [ADDRESS] FA TRES DIES QUE NO FUNCIONA | DEMANA QUE PASSIN A REPARAR EL MÉS AVIAT POSSIBLE | AVISAT ALUVISA,Telèfon 010,Ciutadà,Mobilitat,Ordenació viària,Semàfors / Pilones mòbils,2.43191723,41.55461910,Vista Alegre,2020-01-01 00:00:00
